epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5465.74,1.81289,1.51314,1.28428,0.47919,0.5539,0.44702,0.10921,2.55263,1.66922,1.48985,0.0011882,0.0011882,0.0011882
43,5592.14,1.79981,1.48532,1.26422,0.51113,0.55762,0.44835,0.11189,2.7011,2.03411,1.57536,0.0011684,0.0011684,0.0011684
44,5724.99,1.82803,1.46819,1.27271,0.58013,0.54446,0.49247,0.13124,2.49363,1.57294,1.45397,0.0011486,0.0011486,0.0011486
45,5853.56,1.80888,1.47648,1.26785,0.51723,0.58736,0.43391,0.10356,2.63285,1.70514,1.50163,0.0011288,0.0011288,0.0011288
46,5980.88,1.78875,1.44806,1.26354,0.45358,0.50929,0.39636,0.0932,2.63697,2.09809,1.5309,0.001109,0.001109,0.001109
47,6107.36,1.77939,1.47025,1.26101,0.51369,0.50264,0.44067,0.11003,2.58567,1.78992,1.51522,0.0010892,0.0010892,0.0010892
48,6237.7,1.77031,1.45521,1.25122,0.5983,0.60352,0.54231,0.13546,2.46449,1.6531,1.44777,0.0010694,0.0010694,0.0010694
49,6361.07,1.77256,1.44916,1.25468,0.47862,0.48458,0.3872,0.08286,2.78024,1.77677,1.59514,0.0010496,0.0010496,0.0010496
50,6505.43,1.77461,1.42202,1.24001,0.57305,0.62869,0.55311,0.14147,2.47812,1.62794,1.46605,0.0010298,0.0010298,0.0010298
51,6639.27,1.7555,1.39786,1.23946,0.54024,0.60282,0.49818,0.12688,2.52823,1.63163,1.47233,0.00101,0.00101,0.00101
52,6774.85,1.76829,1.41143,1.24667,0.54346,0.54647,0.44832,0.11472,2.59048,1.7014,1.52082,0.0009902,0.0009902,0.0009902
53,6909.27,1.74985,1.40333,1.24244,0.43533,0.52416,0.36508,0.0843,2.65647,1.7323,1.51997,0.0009704,0.0009704,0.0009704
54,7062.87,1.74947,1.42151,1.2484,0.5796,0.60223,0.51769,0.1202,2.61864,1.61783,1.53556,0.0009506,0.0009506,0.0009506
55,7280,1.77115,1.43475,1.24815,0.5113,0.57249,0.44698,0.10418,2.66747,1.78498,1.5406,0.0009308,0.0009308,0.0009308
56,7411.93,1.75498,1.41343,1.24213,0.5119,0.5539,0.44255,0.10063,2.64787,2.25545,1.57346,0.000911,0.000911,0.000911
57,7539.69,1.75816,1.37239,1.24258,0.49048,0.55762,0.45076,0.09691,2.68985,1.77481,1.55325,0.0008912,0.0008912,0.0008912
58,7672.57,1.752,1.38794,1.24091,0.58558,0.62082,0.55879,0.17644,2.32383,1.69325,1.39254,0.0008714,0.0008714,0.0008714
59,7802.61,1.74799,1.41152,1.22663,0.5238,0.53976,0.43781,0.11258,2.59972,1.74233,1.50684,0.0008516,0.0008516,0.0008516
60,7927.1,1.7553,1.38673,1.23033,0.50726,0.5948,0.47587,0.1234,2.57683,1.69601,1.48753,0.0008318,0.0008318,0.0008318
61,8058.53,1.73699,1.38331,1.2359,0.56246,0.56391,0.49883,0.13175,2.47911,1.51072,1.45028,0.000812,0.000812,0.000812
62,8188.41,1.7407,1.39368,1.22955,0.53354,0.5316,0.46538,0.11109,2.56233,1.66247,1.49924,0.0007922,0.0007922,0.0007922
63,8320.29,1.73037,1.36546,1.21701,0.52571,0.5539,0.43472,0.09917,2.69661,1.68972,1.55214,0.0007724,0.0007724,0.0007724
64,8447.9,1.70951,1.32589,1.22719,0.5558,0.55762,0.50215,0.12332,2.55324,1.77178,1.50414,0.0007526,0.0007526,0.0007526
65,8574.18,1.74085,1.35918,1.23451,0.51594,0.5539,0.44524,0.10197,2.65579,1.79738,1.53779,0.0007328,0.0007328,0.0007328
66,8698.79,1.76004,1.37075,1.23278,0.56553,0.54275,0.50577,0.139,2.42786,1.59917,1.41896,0.000713,0.000713,0.000713
67,8824.49,1.72448,1.3835,1.22561,0.57739,0.62981,0.52366,0.12942,2.54414,1.5848,1.48847,0.0006932,0.0006932,0.0006932
68,8950.78,1.69012,1.32593,1.21719,0.55341,0.53899,0.46628,0.10546,2.61097,1.68018,1.52254,0.0006734,0.0006734,0.0006734
69,9081.63,1.71433,1.34808,1.22477,0.58115,0.63197,0.53528,0.13082,2.50089,1.72262,1.4596,0.0006536,0.0006536,0.0006536
70,9214.16,1.71486,1.32469,1.21714,0.61522,0.57654,0.54427,0.13763,2.46938,1.6089,1.43538,0.0006338,0.0006338,0.0006338
71,9343.45,1.71607,1.33223,1.21473,0.56191,0.56134,0.469,0.11144,2.57661,1.70039,1.50677,0.000614,0.000614,0.000614
72,9470.81,1.71456,1.34529,1.22983,0.6053,0.58736,0.53507,0.14778,2.41337,1.56124,1.4047,0.0005942,0.0005942,0.0005942
73,9596.05,1.7095,1.37157,1.22198,0.47491,0.58364,0.46679,0.12137,2.44872,1.7184,1.44985,0.0005744,0.0005744,0.0005744
74,9727.34,1.71953,1.33698,1.21838,0.48855,0.56107,0.41758,0.09583,2.66529,1.77986,1.54859,0.0005546,0.0005546,0.0005546
75,9856.37,1.72283,1.33055,1.21239,0.5256,0.59851,0.45619,0.10133,2.66005,1.81455,1.52559,0.0005348,0.0005348,0.0005348
76,9986.23,1.70763,1.31765,1.20769,0.59995,0.57993,0.5246,0.11855,2.61187,1.64807,1.49911,0.000515,0.000515,0.000515
77,10113.5,1.69342,1.30753,1.20138,0.56533,0.62825,0.5411,0.13454,2.48861,1.75416,1.4567,0.0004952,0.0004952,0.0004952
78,10239.3,1.72628,1.33153,1.21361,0.62731,0.60223,0.59684,0.18277,2.27137,1.51887,1.35527,0.0004754,0.0004754,0.0004754
79,10370.9,1.70382,1.31055,1.20967,0.57844,0.6019,0.52668,0.1272,2.51697,1.65754,1.45036,0.0004556,0.0004556,0.0004556
80,10502,1.6677,1.27906,1.19613,0.62407,0.65056,0.5826,0.14765,2.40342,1.62175,1.41939,0.0004358,0.0004358,0.0004358
81,10629.5,1.70829,1.306,1.21048,0.59797,0.60223,0.59437,0.16484,2.31681,1.53737,1.3552,0.000416,0.000416,0.000416
82,10758.2,1.67533,1.30231,1.20256,0.58484,0.59851,0.55848,0.14278,2.38077,1.65403,1.40574,0.0003962,0.0003962,0.0003962
83,10885.7,1.69927,1.33462,1.21187,0.58582,0.66543,0.59013,0.15793,2.3578,1.65079,1.38075,0.0003764,0.0003764,0.0003764
84,11024.4,1.70266,1.30746,1.21032,0.57055,0.62454,0.54092,0.14466,2.40928,1.6687,1.41412,0.0003566,0.0003566,0.0003566
85,11157.9,1.67681,1.28581,1.19999,0.62921,0.5948,0.55969,0.13771,2.49102,1.66619,1.43535,0.0003368,0.0003368,0.0003368
86,11286.4,1.70832,1.31222,1.21072,0.63015,0.63197,0.56749,0.13901,2.41034,1.64489,1.4219,0.000317,0.000317,0.000317
87,11414.6,1.68478,1.27358,1.20596,0.55913,0.63941,0.56771,0.15119,2.36997,1.68207,1.392,0.0002972,0.0002972,0.0002972
88,11545.6,1.66702,1.27717,1.19163,0.59338,0.5948,0.54258,0.12656,2.51332,1.67857,1.46172,0.0002774,0.0002774,0.0002774
89,11674,1.69404,1.28201,1.19613,0.57,0.61598,0.5532,0.14144,2.42573,1.75584,1.41067,0.0002576,0.0002576,0.0002576
90,11804.7,1.66531,1.28539,1.215,0.58844,0.61125,0.57658,0.14248,2.43548,1.64517,1.42977,0.0002378,0.0002378,0.0002378
91,11927.5,1.64787,1.33878,1.20482,0.56202,0.5948,0.52494,0.12604,2.46861,1.71594,1.46288,0.000218,0.000218,0.000218
92,12053.6,1.64284,1.32176,1.21273,0.5509,0.60195,0.51308,0.12549,2.47394,1.69075,1.45281,0.0001982,0.0001982,0.0001982
93,12179,1.65476,1.28842,1.20486,0.58149,0.62082,0.53366,0.1353,2.48334,1.63863,1.46513,0.0001784,0.0001784,0.0001784
94,12304,1.61387,1.27877,1.18964,0.55868,0.63197,0.54445,0.13584,2.5058,1.69845,1.48202,0.0001586,0.0001586,0.0001586
95,12430,1.66291,1.289,1.21246,0.58926,0.60967,0.54718,0.14383,2.4336,1.60373,1.43144,0.0001388,0.0001388,0.0001388
96,12555.5,1.64818,1.27627,1.20077,0.57438,0.65799,0.54628,0.1443,2.40727,1.65747,1.42139,0.000119,0.000119,0.000119
97,12680.9,1.65988,1.27643,1.20022,0.59678,0.63569,0.54664,0.14937,2.38479,1.60128,1.41198,9.92e-05,9.92e-05,9.92e-05
98,12808.8,1.64561,1.27212,1.21399,0.59583,0.62082,0.53103,0.13743,2.43285,1.65499,1.4236,7.94e-05,7.94e-05,7.94e-05
99,12932.2,1.61054,1.25869,1.20293,0.55422,0.5916,0.503,0.12564,2.48329,1.6785,1.45231,5.96e-05,5.96e-05,5.96e-05
100,13057.8,1.62036,1.27806,1.19489,0.5512,0.59851,0.5072,0.12197,2.50345,1.69805,1.46607,3.98e-05,3.98e-05,3.98e-05
